Search,Title,Location,Cities,States,Latitude,Longitude,Description,Skills,Min_Salary,Max_Salary,Mean_Salary,URL
Data Scientist,Data Scientist,"Los Angeles, CA",Los Angeles,CA,34.0522342,-118.24368490000002,"Are you a Data Scientist who has machine learning and coding experience (Scala, Python)?  If so, read on...We are the adtech arm of a large media conglomerate.  Due to recent growth, we are looking to add a data science team to our already established top notch technology team!  You will get to work with some of LA's brightest minds, have a strong work/life balance and enjoy coming to work every day!Top Reasons to Work with Us1. Be a founding member of a new data science division!2. Strong culture - we work hard but lived balanced lives.3. Work for empathetic, employee focused managers.What You Will Be Doing- Traffic Predictor- Risk Assessment tool to determine the likelihood an ad campaign would be able to deliverWhat You Need for this Position- Machine Learning Experience- Python or Scala Experience- 50% mathematician, 50% software engineer- Innovative and analytical: can pull insights from data- BS or the equivalent in Computer Science or an applied quantitative field and likely added an MS or PhD in the same fieldSo, if you are a Data Scientist with machine learning & coding experience, please apply today!                                    ",['StatisticsMachine LearningApplied Mathematic'],100000,200000,150000.0,https://www.cybercoders.com/data-scientist-job-197502
Data Scientist,Data Scientist,"San Francisco, CA",San Francisco,CA,37.7749295,-122.4194155,"If you are a Data Scientist with 4+ years data science experience, please read on!Payment infrastructure on the internet is fragmented and broken. We are building a future where sending payments is as easy as sending messages. To do this, we’ve redesigned payments from the ground up. Our platform makes online commerce easy, secure, ethical, and efficient for all parties. To solve such a large problem, we’ve put together an incredible team and are selectively adding to it.Play a mission-critical role in developing the future of online commerce. We are looking for someone who oozes passion, creativity, and a love of building great things. Companies and consumers alike will rely heavily on what you build. You’ll have a ton of trust and responsibility. So, if challenges excite you, and you’re ready for a big one, let us know.What You Will Be DoingTest, iterate, and improve our risk engine and fraud modelsWork with individual teams to set up experiments to improve our processes and productsWhat You Need for this PositionPassion and drive to make improve commerce on the InternetEngineering background, with 4+ years of data science experienceDeep understand of and experience with data analysisStrong knowledge of statisticsExpert knowledge of a scientific computing language (R or Python) and SQLStrong ability to communicate clearly and focus on impactBonus:Previous work experience in an early stage company and knowledge of how to navigate and be successful in a startup environment.Deep understanding of fraud detection, e-commerce payments and the competitive ecosystemWhat's In It for You- Competitive salary of $120K-$190K DOE- Full medical, dental, vision benefits- 401(k) w/ matching- Company paid breakfast, lunch and dinner- Passionate, fun and hard-working environment- Much, much more!So, if you are a Data Scientist with 4+ years data science experience, please apply today!                                    ",['Data ScienceMachine LearningRPythonSQLSQL ServerE-Commerc'],110000,175000,142500.0,https://www.cybercoders.com/data-scientist-job-399265
Data Scientist,Data Scientist,"Woodland Hills, CA",Woodland Hills,CA,34.165357,-118.6089752,"If you are a Data Scientist with experience, please read on!What You Will Be Doing•Become the cornerstone of our company in a Data Science capabilities across all product lines, and globally. •Work with marketers to identify opportunities for leveraging data to drive business objectives.•Mine and analyze data from multiple data sources to drive optimization and improvement of marketing techniques and business strategies.•Assess the effectiveness and accuracy of new data sources and data gathering techniques, as well as overall monitoring data accuracy and model(s) performance •Develop custom data models and algorithms to apply to data sets•Use predictive modeling to increase and marketing effectiveness by implementing data-driven user preferences, propensities, categorization, segmentation and other models.•Coordinate with different functional teams to implement models and monitor outcomes.•Stay abreast of the latest developments in data science regarding marketing and sales functions and providing ‘though leadership’ on this topic across the company.What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Statistics- Mathematics- Computer Science- Machine Learning- Product Development- Python- data architecturesSo, if you are a Data Scientist with experience, please apply today!                                    ",['StatisticsMathematicsComputer ScienceMachine LearningProduct DevelopmentPythondata architecture'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-scientist-job-413368
Data Scientist,Data Scientist,"Los Angeles, CA",Los Angeles,CA,34.0522342,-118.24368490000002,"If you are a Data Scientist who enjoys building back-end data systems and creating clean data structures, please read on!Based in Los Angeles, we are leader in the metals industry for close to a 100 years and going strong! We started as a small business serving the local Los Angeles community and thrived in the metals industry boom in the United States,. Overtime, we experienced tremendous success and became a Fortune 500 company an appreciate and are proud of the culture we’ve created. Our leadership has been a part of this company for 10+ years and our turnover is exceptionally low.We also have an endless supply of engaging engineering work to be done and are currently hiring a Data Scientist to join us. We're looking for hungry people who are passionate about redefining the data science space. We offer a true work/life balance with a fun and dynamic work environment. If you are ready to join a truly stable company that has roots in the industry and endless career growth and advancement, we are the company for you!Top Reasons to Work with Us1. True work/life balance!2. Join a world class engineering team.3. Experience tremendous personal and professional success.What You Will Be DoingAs a Data Scientist/Engineer you will be responsible for the following;- Build machine learning and statistical models to to address business needs. (Boosting trees, neural networks, or support vector machines, scikit-learn, spark MLlib, tensorflow or H2O: We're open to solving problems in many different ways.)- Perform data mining and feature engineering. - Dig into the numbers and develop truly data-driven features.- Architect, develop, and launch automated ETL (Extraction, Transformation, Loading) processes between multiple systems.- Design and develop data ingestion and storage systems with high availability and reliability that can scale.- Assist and lead the development of feature improvements to our suite of proprietary data-intensive tools- Prepare data flow diagrams and technical requirements for internal and external data flows.- Define, document and advocate best practices for data usage.- Work with other Engineering teams to present current finding, gather feedback, and iterate.- Create alerts to ensure continual data availability, accuracy and cleanlinessWe believe the most powerful models can only be built from the most predictive features, and we let the data do the talking!What You Need for this Position- Strong experience with Python or Scala - Experience with MySQL, SQL (write complex SQL for data manipulation)- Experience in data processing and building production models- Experience in developing ETL solutions- Excellent analytical skills, and strategic thinking/visioning- Experience working with back-end data systems to create clean data structures- Experience with Spark is a plus!- Knowledge of MPP/Columnar data warehouse solutions Redshift, Vertica are a plus!- Strong strong written and verbal communicator- Masters or Bachelors degree in Computer Science, Electrical Engineering, Operations Research, Statistics or Applied Math with in-depth understanding of machine learning models and/or statistical analysis requiredWhat's In It for You- Competitive salary- Generous equity package- Benefits (Health, Dental, Vision)- 401K match- PTO- Holidays- Team events/outingsSo, if you are ready to enjoy a True Work/Life balance as a Data Scientist, Please Apply Today!                                    ",['PythonJavaSQL (BigQuery/Oracle and Hive)Dimensional data modeling & schema design in DWETL design (Informatica/Talend/Pentaho)Map Reduce or MPP systemWrite abstracted reusable code componentsDesign data warehouse and data pipelinesArchitect/Build/Launch new data modelsAPI Developmen'],120000,160000,140000.0,https://www.cybercoders.com/data-scientist-job-413617
Data Scientist,Data Scientist,"Austin, TX",Austin,TX,30.267153000000004,-97.7430608,"If you are a Data Scientist with experience, please read on!Located in North Austin, TX (in between downtown and Round Rock, TX) we are a global end-to-end computing solutions company empowering people to do more all around the world!What's In It for YouWe offer an amazing compensation package including:- A competitive base salary (DOE)- Full benefits (Medical, Dental, Vision) - Generous PTO/Sick time- Unlimited growth potentialWhat You Need for this PositionBachelors in Engineering, Computer Science, or Statistics with 2-3 year of industrial experience in Data Science OR Fresh Masters or Ph.D. graduate in Engineering, Computer Science, or Statistics with internship and projects in data science and knowledge of: - Solid analytical skills and understanding of descriptive and predictive statistical methods with implementation experience in R and/or Python- 2+ years of hands-on experience with datasets (i.e. data extraction, cleaning, analysis and visualization) using R and/or Python- 2+ years of SQL coding for querying- Experience building web dashboards for providing insights from data setsNice to have (but not required): - Python for data (Numpy, Pandas, Scikit-Learn)- Advanced degree (Ph.D. or MS) in Statistics, Computer Science, Engineering or other analytical fieldsSo, if you are a Data Scientist with experience, please apply today!                                    ",['R LanguagePythonDatasetsSQL Querie'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-scientist-job-414239
Data Scientist,Data Scientist,"Cambridge, MA",Cambridge,MA,42.373615799999996,-71.10973349999998,"If you are a Data Scientist who has Python and can code? If so, read on...We are the industry leader in the travel industry and we continue to grow thru innovation. Due to this recent growth, we are looking to add a Data Scientist to our already established top notch technology team! You will get to work with some bright minds who want to embrace your ideas!What You Will Be DoingYou will be working to help build our very cool products. Your primary responsibility will be to use the tools of Big Data to help build our world changing technologyYour experience and perspective will be heard and considered as this product design evolves. Improving the predictive models and control algorithms used by our home-grown bidding platform to make large-scale user acquisition decisions Building data pipelines and reporting solutions to monitor performance metrics across marketing channels Forecasting future KPIs using time series analysis techniquesWhat You Need for this PositionWe are looking for a passionate, self-directed, and good communicator. We want someone who wants to work in a small team, someone who wants to work for a proven company, and someone who wants to continue learning new technology as they advance. - 3+ years of Data Scientist experience- Python - SQLExtensive experience with building mathematical models for real-world events/scenariosIf you have any Machine Learning experience please let us know that as well!Must have excellent technical communication skills.What's In It for YouCompetitive Salary Health BenefitsFantastic PerksPaid Holidays, Vacation, Sick DaysSo, if you are a Data Scientist who has Python, SQL, and can code, please apply today!                                    ",['Full StackCassandraElasticSearchSolrData ScientistPythonMachine LearningRData MiningSQ'],110000,150000,130000.0,https://www.cybercoders.com/data-scientist-job-414707
Data Scientist,Data Scientist,"Bethesda, MD",Bethesda,MD,38.984652000000004,-77.09470920000001,"If you are a Data Scientist with experience, please read on!Top Reasons to Work with UsStart-Up MentalityFun EnvironmentRoom for GrowthWhat You Will Be DoingDescriptionData Scientists need to analyze financial data, predict future trends, and isolate unexpected correlationsRequirementsCreating and managing multiple machine learning modelsReducing the final output of all the models to single scoreMonitoring the final systems to isolate the predictorsWhat You Need for this PositionThe ideal candidate will have both multivariate statistical experience and experience with TensorFlowExperience with programming languages such as Python and C# is a plusExperience with relational database systems is a plusMaster's DegreeSo, if you are a Data Scientist with experience, please apply today!                                    ",['Machine LearningTensorflowStatistical/Machine Learning Algorithm'],100000,120000,110000.0,https://www.cybercoders.com/data-scientist-job-415915
Data Scientist,Data Scientist,"Los Angeles, CA",Los Angeles,CA,34.0522342,-118.24368490000002,"If you are a Data Scientist who enjoys developing predictive models and data products, please read on!Based in Los Angeles, we are leader in the metals industry for close to a 100 years and going strong! We started as a small business serving the local Los Angeles community and thrived in the metals industry boom in the United States,. Overtime, we experienced tremendous success and became a Fortune 500 company an appreciate and are proud of the culture we’ve created. Our leadership has been a part of this company for 10+ years and our turnover is exceptionally low.We also have an endless supply of engaging engineering work to be done and are currently hiring a Data Scientist to join us. We're looking for hungry people who are passionate about redefining the data science space. We offer a true work/life balance with a fun and dynamic work environment. If you are ready to join a truly stable company that has roots in the industry and endless career growth and advancement, we are the company for you!Top Reasons to Work with Us1. True work/life balance!2. Join a world class engineering team.3. Experience tremendous personal and professional success.What You Will Be DoingAs a Data Scientist/Engineer you will be responsible for the following;- Build machine learning and statistical models to to address business needs. (Boosting trees, neural networks, or support vector machines, scikit-learn, spark MLlib, tensorflow or H2O: We're open to solving problems in many different ways.)- Conduct data analysis and modeling to design medium to complex systems utilizing multiple technologies.- Collect and curate data from disparate sources to perform data wrangling to clean, prepare, and standardize data for consumption- Perform data mining and feature engineering. - Architect, develop, and launch automated ETL (Extraction, Transformation, Loading) processes between multiple systems.- Design and develop data ingestion and storage systems with high availability and reliability that can scale.- Assist and lead the development of feature improvements to our suite of proprietary data-intensive tools- Prepare data flow diagrams and technical requirements for internal and external data flows.- Define, document and advocate best practices for data usage.- Work with other Engineering teams to present current finding, gather feedback, and iterate.- Create alerts to ensure continual data availability, accuracy and cleanlinessWe believe the most powerful models can only be built from the most predictive features, and we let the data do the talking!What You Need for this Position- Strong experience with Python, Scala or R - Experience writing advanced algorithms on top of Big Data infrastructure- Experience with non-SQL big data open source products such as Spark, EMR/Hadoop - An understanding of Matrix Factorization, Gradient Boosting, Random Forest, Batch/Stochastic Gradient Descent, Neural Network and SVM- Experience applying complex tools and algorithms to identify trends and patterns in data- Knowledge of machine learning libraries (Vowpal Wabbit, H2O, Tensorflow, Theano, Keras or xgboost) and ability to apply machine learning at scale- Experience assessing advanced analytic models and techniques- Experience with MySQL, SQL (write complex SQL for data manipulation)- Experience in data processing and building production models- Experience in developing ETL solutions- Experience working with back-end data systems to create clean data structures- Knowledge of MPP/Columnar data warehouse solutions Redshift, Vertica are a plus!- Strong strong written and verbal communicator- Masters or Bachelors degree in Computer Science, Electrical Engineering, Operations Research, Statistics or Applied Math with in-depth understanding of machine learning models and/or statistical analysis requiredWhat's In It for You- Competitive salary- Generous equity package- Benefits (Health, Dental, Vision)- 401K match- PTO- Holidays- Team events/outingsSo, if you are ready to enjoy a True Work/Life balance as a Data Scientist, Please Apply Today!                                    ",['PythonJavaSQL (BigQuery/Oracle and Hive)Dimensional data modeling & schema design in DWETL design (Informatica/Talend/Pentaho)Map Reduce or MPP systemWrite abstracted reusable code componentsDesign data warehouse and data pipelinesArchitect/Build/Launch new data modelsAPI Developmen'],120000,160000,140000.0,https://www.cybercoders.com/data-scientist-job-417109
Data Scientist,Data Scientist,"New York City, NY",New York City,NY,40.7127753,-74.0059728,"If you are a Data Scientist with Python experience, you'll want to read this...We are a growing team that has been in business over 10 years, and among other accolades, received significant VC funding. Our mission is to develop a highly scalable and reliable cloud-computing architecture that powers and permits businesses to grow rapidly!We are looking to bring on a Data Scientist to join our exciting and innovative team in Midtown, Manhattan.What You Need for this Position5+ Years of experience and knowledge of:- Python- Machine Learning- Data Manipulation- Product Development- Statistics- Data Architecture- Statistical Tests- Statistical Models- R- SQLWhat's In It for You- Competitive compensation- Growth opportunities- Generous benefits package with the works (possibility for equity ownership)- Great office environment with excellent team members- Work for a stable, rapidly growing companySo, if you are a Data Scientist with relevant experience, don't hesitate to apply today!                                    ",['PythonMachine LearningData ManipulationProduct DevelopmentStatisticsData ArchitectureStatistical TestsStatistical ModelsRSQ'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-scientist-job-418601
Data Scientist,Data Scientist,"Plymouth Meeting, PA",Plymouth Meeting,PA,40.102331899999996,-75.27434670000001,"Data Scientist - data mining, data sets, statistics - NW of PhiladelphiaWe are at the forefront of healthcare analytics focused on using data science to create robust patient-experience improvement-oriented solutions.  The right person for this role will be passionate about data science and healthcare innovation, willing to mentor a small but growing team while building their own career towards leadership and remaining involved in a hands-on capacity.What You Need for this PositionYou should have an advanced degree in statistics, mathematics, or computer science - Master's or PhD.- Data Mining- Data Sets- Statistical Modeling- Python & R & SQL- Machine Learning Algorithms- Web Services- Hadoop- experience in / interest in improvements in the health-tech spaceIf you are a Senior Data Scientist with an advanced degree, please apply today!                                    ",['Data Miningdata setsStatistical ModelingPython & R & SQLMachine Learning AlgorithmsWeb ServicesHadoo'],120000,160000,140000.0,https://www.cybercoders.com/data-scientist-job-420208
